,Timestamp,SrcIP,DstIP,Confidence,AttackReason,ImpactScore
53,2025-12-27 14:26:35,192.168.31.186,142.250.205.42,0.99,FwdPkts,1
54,2025-12-27 14:26:35,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
55,2025-12-27 14:26:35,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
56,2025-12-27 14:26:37,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
57,2025-12-27 14:26:38,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
58,2025-12-27 14:26:38,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
59,2025-12-27 14:26:44,192.168.31.186,142.250.205.42,0.99,FwdPkts,1
60,2025-12-27 14:26:44,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
61,2025-12-27 14:26:44,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
62,2025-12-27 14:26:44,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
63,2025-12-27 14:26:49,192.168.31.186,172.217.194.91,0.99,FwdPkts,1
64,2025-12-27 14:26:49,192.168.31.186,23.223.245.49,0.99,FwdPkts,1
65,2025-12-27 14:26:49,23.223.245.49,192.168.31.186,0.99,FwdPkts,1
66,2025-12-27 14:26:50,192.168.31.186,172.217.194.91,0.99,FwdPkts,1
67,2025-12-27 14:26:50,172.217.194.91,192.168.31.186,0.99,FwdPkts,1
68,2025-12-27 14:26:50,192.168.31.186,142.250.205.42,0.99,FwdPkts,1
69,2025-12-27 14:26:50,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
70,2025-12-27 14:26:50,142.250.205.42,192.168.31.186,0.99,FwdPkts,1
71,2025-12-27 14:29:55,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
72,2025-12-27 14:30:14,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
73,2025-12-27 14:30:14,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
74,2025-12-27 14:30:23,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
75,2025-12-27 14:30:23,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
76,2025-12-27 14:30:24,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
77,2025-12-27 14:30:24,192.168.31.186,34.54.84.110,0.99,FwdPkts,1
78,2025-12-27 14:30:24,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
79,2025-12-27 14:30:25,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
80,2025-12-27 14:30:45,34.54.84.110,192.168.31.186,0.99,FwdPkts,1
81,2025-12-27 14:30:50,192.168.31.186,142.251.10.136,0.99,FwdPkts,1
82,2025-12-27 14:30:55,192.168.31.1,239.255.255.250,0.99,FwdPkts,1
